Sb_ID,Min_Irr_Eff,Max_Irr_Eff
1,0.5,0.8
2,0.5,0.8
3,0.5,0.8
4,0.5,0.8
5,0.5,0.8
6,0.5,0.8
7,0.5,0.8
8,0.5,0.8
9,0.5,0.8
10,0.5,0.8
11,0.5,0.8
12,0.5,0.8
13,0.5,0.8
14,0.5,0.8
15,0.5,0.8
16,0.5,0.8
17,0.5,0.8
18,0.5,0.8
19,0.5,0.8
20,0.5,0.8
21,0.5,0.8
22,0.5,0.8
23,0.5,0.8
24,0.5,0.8
25,0.5,0.8
26,0.5,0.8
27,0.5,0.8
28,0.5,0.8
29,0.5,0.8
30,0.5,0.8
31,0.5,0.8
32,0.5,0.8
33,0.5,0.8
34,0.5,0.8
35,0.5,0.8
36,0.5,0.8
37,0.5,0.8
38,0.5,0.8
39,0.5,0.8
40,0.5,0.8
41,0.5,0.8
42,0.5,0.8
43,0.5,0.8
44,0.5,0.8
45,0.5,0.8
46,0.5,0.8
47,0.5,0.8
