subbasin,IRICE_kg.ha,Maize_kg.ha
1,0,1390.303571
2,0,2082.815254
3,0,371.45
4,2564.171429,0
5,1966.304348,0
6,3317.722917,0
7,1888.723669,0
8,383.3307692,0
9,1305.082857,0
10,1371.504739,0
11,880.174,0
12,2690.558065,0
13,1764.376642,428.5540146
14,1416.294545,1354.42
15,2524.314493,1860.180435
16,2543.563699,828.9335616
17,2374.284,0
18,3188.56,0
19,1153.852101,0
20,0,0
21,1217.02069,0
22,2342.973913,0
23,0,0
24,964.9701107,183.0719557
25,683.2597561,0
26,2301.573333,0
27,1510.49902,0
28,1892.85,0
29,2188.387234,0
30,1385.889362,0
31,2771.635897,0
32,2009.262222,0
33,1694.417647,0
34,1189.716,0
35,3613.537778,0
36,1987.3,0
37,2985.231884,0
38,2513.466667,0
39,959.475,0
40,2294.121053,0
41,1157.751724,0
42,2395.056522,0
43,3533.582789,0
44,2788.129936,0
45,3410.040807,27.07085202
46,1456.305556,0
47,1401.36,0
48,1494.91039,0
49,2561.358949,0
50,2552.693721,0
51,2882.625854,0
52,0,0
53,0,0
54,3058.353237,0
55,1528.482609,0
56,0,0
57,1182.539286,0
58,2602.9,0
59,0,0
60,1805.257143,0
61,997.9,0
62,0,0
63,0,0
64,0,0
65,612.3277778,0
66,1265.606667,0
67,867.27,0
68,1328.294118,0
69,1451.862353,1608.44
70,1698.12037,488.0351852
71,946.9535714,601.7164835
72,485.98,0
73,0,0
74,910.9551913,0
75,1427.307042,419.7225352
76,1000.335714,0
77,467.399115,0
78,974.5935065,0
79,1270.561667,0
80,2147.676364,0
81,3390.75,0
82,2103.113636,0
83,4232.995,0
84,4168.213636,0
85,2177.492135,134.8393258
86,3415.90303,0
87,3602.36,303.575
88,4550.875,2310.775
89,5082.196491,772.0859649
