Reservoir,lat,lon,subbasin (090715 setup),Reservoir name,Mean Annual Energy (GWh),Efficiency,a,b,Note
1,27.625964,99.018853,4,,,,,,Head=a*volume^b
2,26.548199,99.103817,5,Huangdeng,"8,578",,,,
3,24.704222,100.091255,6,Xiaowan,18207,0.74,0.3726,0.2817,
4,22.053206,100.766478,8,Jinghong,5570,0.789,0.003536,0.4722,
5,20.080122,102.177133,14,Luangprabang,5437.3,0.94,0.001386,0.489,
6,18.329425,101.522014,17,Pak Lay,6460,,,,
7,18.138282,103.096767,19,,,,,,
8,15.319953,105.618242,25,Latsua,2668,,,,In SWAT (Hua's shapefile) this is located at lat: 15.322952 lon:105.524341
9,13.575317,105.98345,33,Stung Treng,4870,,,,
10,13.551408,106.263841,38,Lower Sesan 2,2311.8,,,,
